hour,PULocationID,pickup_zone,pickup_borough,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share,zone_rank_in_hour
17,239,Upper West Side South,Manhattan,159382,3670248.5500000003,2290603.2399999998,373009.18999999994,2203758.05,206512,123848,21769,731,1,23.027999083961806,14.371781255097813,2.340347027895245,13.826894191313949,1.295704659246339,0.7770513608814045,0.13658380494660627,10
18,161,Midtown Center,Manhattan,319956,7993545.8,5012549.07,728197.2500000001,5151178.699999999,413520,262118,41845,731,1,24.983265824050807,15.666369969620824,2.275929346535149,16.09964713898161,1.2924277088099614,0.8192313943167185,0.1307836077460651,1
18,237,Upper East Side South,Manhattan,280523,6132320.38,3686982.0599999996,551758.12,3626417.7499999995,350741,228575,36713,731,1,21.860312273859897,13.143243370418823,1.9668908431750693,12.927345529600068,1.2503110261903658,0.8148173233567301,0.1308734043197884,2
18,236,Upper East Side North,Manhattan,248960,5504864.740000002,3332331.1400000006,466965.86,3166965.6166666667,309864,201544,29167,731,1,22.111442561053995,13.38500618573265,1.8756662114395886,12.720780915274208,1.244633676092545,0.8095437017994859,0.11715536632390745,3
18,132,JFK Airport,Queens,238389,2.025967279999998E7,1.5436336439999996E7,3828010.96,1.0994283966666669E7,364136,171200,59303,731,1,84.98577031658331,64.75272114065665,16.057833876563095,46.119090925615986,1.5274865870488992,0.7181539416667715,0.24876567291276025,4
18,162,Midtown East,Manhattan,238171,5914124.819999999,3684985.3699999996,585497.98,3745738.9833333334,297349,200018,27472,731,1,24.831422885237913,15.472015358712856,2.458309281986472,15.727099366981427,1.2484685373114275,0.8398083729757191,0.11534569699921485,5
18,163,Midtown North,Manhattan,195562,4778894.93,2992620.51,430373.09,3038437.3499999996,256305,157791,27886,731,1,24.436725590861208,15.302668770006441,2.200698959920639,15.536951708409607,1.3106073777114162,0.8068592057761733,0.14259416451048773,6
18,142,Lincoln Square East,Manhattan,190168,4258311.16,2614978.4400000004,375956.32000000007,2523100.533333333,246306,154196,24398,731,1,22.392364435656894,13.75088574313239,1.976969416515923,13.26774501142849,1.2952021370577596,0.8108409406419587,0.12829708468301712,7
18,230,Times Sq/Theatre District,Manhattan,189188,5041974.46,3245683.81,429952.85,3253509.916666667,264608,145722,34052,729,1,26.65060394951054,17.15586511829503,2.2726222064824406,17.19723194212459,1.3986510772353427,0.7702496987123919,0.17999027422458083,8
18,170,Murray Hill,Manhattan,180600,4468854.739999999,2807571.11,619171.4999999999,2769258.2,221813,146646,20383,731,1,24.744489147286817,15.545797951273531,3.428413621262458,15.333655592469547,1.2282004429678848,0.8119933554817276,0.11286267995570322,9
